"Item Code","Item Group","Default Unit of Measure","Standard Selling Rate","ID (Barcodes)","Barcode (Barcodes)","Barcode Type (Barcodes)","UOM (Barcodes)","Colour (Variant Attributes)","Attribute Value (Variant Attributes)","Default Warehouse (Item Defaults)"
"","","","","","","","","","Standard",""
"PER-DIR-OUD","Scented Products","Size",80.0,"n1suht3b7s","616110","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"SCR-ACC-SIN","Accessories","Size",25.0,"murgikngd3","583548","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"DUJ-HIJ-SIN-MUA-MEA","Premium Duja Al Lail Hijabs","Size",350.0,"n4i5i4jgh0","4109488739","CODE-39","Size","","Muave","Stores - BAE"
"","","","","","","","","","70 X 200",""
"DUJ-HIJ-SIN-EMG-MEA","Premium Duja Al Lail Hijabs","Size",350.0,"n4jh9h8doe","4109489739","CODE-39","Size","","Emerald Green","Stores - BAE"
"","","","","","","","","","70 X 200",""
"DUJ-HIJ-SIN-LAI-MEA","Premium Duja Al Lail Hijabs","Size",350.0,"n4jr1bke7a","4109488239","CODE-39","Size","","Lialac","Stores - BAE"
"","","","","","","","","","70 X 200",""
"DUJ-HIJ-SIN-STG-MEA","Premium Duja Al Lail Hijabs","Size",350.0,"n4g9jrl24j","4109483239","CODE-39","Size","","Steel Grey","Stores - BAE"
"","","","","","","","","","70 X 200",""
"DUJ-HIJ-SIN-LGA-MEA","Premium Duja Al Lail Hijabs","Size",350.0,"n4ituhm6lq","4109484439","CODE-39","Size","","Light Grey","Stores - BAE"
"","","","","","","","","","70 X 200",""
"DUJ-HIJ-SIN-NUD-MEA","Premium Duja Al Lail Hijabs","Size",350.0,"n4hmdqfouj","4109480939","CODE-39","Size","","Nude","Stores - BAE"
"","","","","","","","","","70 X 200",""
"DUJ-HIJ-SIN-BLK-MEA","Premium Duja Al Lail Hijabs","Size",350.0,"n4mlpprrt9","4109481939","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","70 X 200",""
"DUJ-HIJ-SIN-PNK-MEA","Premium Duja Al Lail Hijabs","Size",350.0,"n4ha848dlh","4109483939","CODE-39","Size","","Pink","Stores - BAE"
"","","","","","","","","","70 X 200",""
"DUJ-HIJ-SIN-SGR-MEA","Premium Duja Al Lail Hijabs","Size",350.0,"n4hbucoi05","4109487039","CODE-39","Size","","Stone Grey","Stores - BAE"
"","","","","","","","","","70 X 200",""
"DUJ-HIJ-SIN-DGR-MEA","Premium Duja Al Lail Hijabs","Size",350.0,"n4k40v8u0g","4109485539","CODE-39","Size","","Dark Grey","Stores - BAE"
"","","","","","","","","","70 X 200",""
"DUJ-HIJ-SIN-COF-MEA","Premium Duja Al Lail Hijabs","Size",350.0,"n4l44f6dpn","4109489439","CODE-39","Size","","Coffee","Stores - BAE"
"","","","","","","","","","70 X 200",""
"DUJ-HIJ-SIN-CHR-MEA","Premium Duja Al Lail Hijabs","Size",350.0,"n4l73og09f","4109485739","CODE-39","Size","","Charcoal","Stores - BAE"
"","","","","","","","","","70 X 200",""
"DUJ-HIJ-SIN-CRE-MEA","Premium Duja Al Lail Hijabs","Size",350.0,"n4keuua92c","4109489639","CODE-39","Size","","Creame","Stores - BAE"
"","","","","","","","","","70 X 200",""
"FEE-ABA-SET-PPN-XL","Co-Ords Abaya Sets","Size",650.0,"n12s0aippu","6018786616","CODE-39","Size","","Pistachio With pink Flower","Stores - BAE"
"","","","","","","","","","XL - 60",""
"FEE-ABA-SET-PPN-L","Co-Ords Abaya Sets","Size",650.0,"n14cirj04s","6018786676","CODE-39","Size","","Pistachio With pink Flower","Stores - BAE"
"","","","","","","","","","L - 58",""
"FEE-ABA-SET-PPN-M","Co-Ords Abaya Sets","Size",650.0,"n14s7ke0fm","6018786677","CODE-39","Size","","Pistachio With pink Flower","Stores - BAE"
"","","","","","","","","","M - 56",""
"FEE-ABA-SET-PPN-S","Co-Ords Abaya Sets","Size",650.0,"n1304uh9q8","6018786683","CODE-39","Size","","Pistachio With pink Flower","Stores - BAE"
"","","","","","","","","","S - 54",""
"FEE-ABA-SET-PPN-XS","Co-Ords Abaya Sets","Size",650.0,"n11cbvs79l","6018786637","CODE-39","Size","","Pistachio With pink Flower","Stores - BAE"
"","","","","","","","","","XS - 52",""
"FEE-ABA-SET-BYF-XL","Co-Ords Abaya Sets","Size",650.0,"n139b0l7bq","6018782316","CODE-39","Size","","Black With Yellow Flowers","Stores - BAE"
"","","","","","","","","","XL - 60",""
"FEE-ABA-SET-BYF-L","Co-Ords Abaya Sets","Size",650.0,"n16tqp4vsd","6018782376","CODE-39","Size","","Black With Yellow Flowers","Stores - BAE"
"","","","","","","","","","L - 58",""
